"CustomerID","Recency","Frequency","Monetary","R_score","F_score","M_score","RFM_Score","Segment"
12502,100,5,3723.87,2,4,5,"245","At Risk"
12503,342,1,-1126,1,1,1,"111","Lost"
12504,23,4,114,4,4,1,"441","Loyal Customers"
12505,306,1,-4.5,1,1,1,"111","Lost"
12506,237,1,73.5,1,1,1,"111","Lost"
12507,139,4,1258.06,2,4,4,"244","At Risk"
12508,31,2,398.27,4,2,2,"422","New Customers"
12509,289,1,176.5,1,1,1,"111","Lost"
12510,147,2,982.57,2,2,4,"224","Lost"
12512,71,2,138.03,3,2,1,"321","Others"
12513,89,2,586.79,2,2,3,"223","Lost"
12514,272,1,1017.68,1,1,4,"114","Lost"
12515,358,1,383.7,1,1,2,"112","Lost"
12516,82,2,1312.06,2,2,4,"224","Lost"
12517,33,6,2464.89,4,4,5,"445","Champions"
12518,5,5,2056.89,5,4,5,"545","Champions"
12519,68,1,340.84,3,1,2,"312","Others"
12520,84,6,2582.51,2,4,5,"245","At Risk"
12521,147,1,599.68,2,1,3,"213","Lost"
12522,44,2,192.72,3,2,1,"321","Others"
12523,6,13,1745.57,5,5,4,"554","Champions"
12524,14,8,4485.72,5,5,5,"555","Champions"
12526,5,3,1316.66,5,3,4,"534","Loyal Customers"
12527,86,3,348.71,2,3,2,"232","Others"
12528,14,8,1922.28,5,5,4,"554","Champions"
12530,64,5,1623.63,3,4,4,"344","Loyal Customers"
12531,19,1,125.22,4,1,1,"411","New Customers"
12532,35,1,349.83,4,1,2,"412","New Customers"
12534,135,1,1089.18,2,1,4,"214","Lost"
12535,96,2,716.35,2,2,3,"223","Lost"
12536,12,5,4106.82,5,4,5,"545","Champions"
12538,34,1,363.95,4,1,2,"412","New Customers"
12539,27,5,3852.5,4,4,5,"445","Champions"
12540,24,19,13309.04,4,5,5,"455","Champions"
12541,34,3,981.18,4,3,4,"434","Loyal Customers"
12544,34,2,355.7,4,2,2,"422","New Customers"
12545,80,2,1000.39,2,2,4,"224","Lost"
12546,51,3,1141.5,3,3,4,"334","Loyal Customers"
12547,202,2,207.8,1,2,1,"121","Lost"
12548,171,1,95.2,2,1,1,"211","Lost"
12550,84,1,964.83,2,1,4,"214","Lost"
12551,362,1,168,1,1,1,"111","Lost"
12552,43,2,437.82,3,2,2,"322","Others"
12553,13,14,3652.25,5,5,5,"555","Champions"
12556,55,2,603.71,3,2,3,"323","Others"
12557,21,5,11990.96,4,4,5,"445","Champions"
12558,6,2,0,5,2,1,"521","New Customers"
12559,315,3,536.21,1,3,3,"133","Others"
12560,10,4,2101.39,5,4,5,"545","Champions"
12561,307,1,238.85,1,1,2,"112","Lost"
12562,13,7,3781.74,5,4,5,"545","Champions"
12564,266,1,456.9,1,1,2,"112","Lost"
12565,286,2,131.17,1,2,1,"121","Lost"
12566,77,2,346.7,2,2,2,"222","Lost"
12567,27,11,9114.94,4,5,5,"455","Champions"
12569,7,35,4064.99,5,5,5,"555","Champions"
12571,44,2,519.61,3,2,3,"323","Others"
12572,13,3,1004.72,5,3,4,"534","Loyal Customers"
12573,232,1,160.54,1,1,1,"111","Lost"
12574,320,1,218.45,1,1,1,"111","Lost"
12576,40,6,1306.98,3,4,4,"344","Loyal Customers"
12577,40,4,595.4,3,4,3,"343","Loyal Customers"
12578,26,4,2753.36,4,4,5,"445","Champions"
12579,78,3,410.72,2,3,2,"232","Others"
12580,251,1,415.7,1,1,2,"112","Lost"
12581,44,1,197.71,3,1,1,"311","Others"
12582,243,2,511.36,1,2,3,"123","Lost"
12583,7,18,7187.34,5,5,5,"555","Champions"
12584,8,18,1893.95,5,5,4,"554","Champions"
12585,239,4,1982.81,1,4,4,"144","At Risk"
12586,22,2,179.94,4,2,1,"421","New Customers"
12587,12,1,144,5,1,1,"511","New Customers"
12588,44,1,214.9,3,1,1,"311","Others"
12589,33,2,646.68,4,2,3,"423","New Customers"
12590,195,3,9861.38,1,3,5,"135","Others"
12591,322,1,452.85,1,1,2,"112","Lost"
12592,97,2,437.6,2,2,2,"222","Lost"
12593,113,3,418.1,2,3,2,"232","Others"
12594,42,11,3320.22,3,5,5,"355","Loyal Customers"
12596,56,2,618.27,3,2,3,"323","Others"
12597,24,5,3683.13,4,4,5,"445","Champions"
12598,14,9,3002.68,5,5,5,"555","Champions"
12599,34,7,1032.58,4,4,4,"444","Champions"
12600,33,11,2581.04,4,5,5,"455","Champions"
12601,194,6,569.56,1,4,3,"143","At Risk"
12602,63,1,153.12,3,1,1,"311","Others"
12603,26,1,739.2,4,1,3,"413","New Customers"
12604,84,2,254.18,2,2,2,"222","Lost"
12605,370,1,-7.5,1,1,1,"111","Lost"
12607,63,2,0,3,2,1,"321","Others"
12609,83,3,1126.85,2,3,4,"234","Others"
12610,27,7,2057.99,4,4,5,"445","Champions"
12611,57,1,1193.32,3,1,4,"314","Others"
12612,62,2,643.59,3,2,3,"323","Others"
12613,36,6,3218.98,3,4,5,"345","Loyal Customers"
12614,282,1,315.6,1,1,2,"112","Lost"
12615,7,4,2291.19,5,4,5,"545","Champions"
12616,90,5,657.25,2,4,3,"243","At Risk"
12617,34,1,355.53,4,1,2,"412","New Customers"
12618,26,1,177.31,4,1,1,"411","New Customers"
12619,21,13,3214.81,4,5,5,"455","Champions"
12620,19,3,1339.41,4,3,4,"434","Loyal Customers"
12621,6,23,13612.07,5,5,5,"555","Champions"
12622,237,1,180.1,1,1,1,"111","Lost"
12623,281,1,305.1,1,1,2,"112","Lost"
12624,111,2,641.13,2,2,3,"223","Lost"
12625,216,3,2614.32,1,3,5,"135","Others"
12626,28,13,6388.35,4,5,5,"455","Champions"
12627,15,7,4478.53,5,4,5,"545","Champions"
12628,9,4,769.61,5,4,3,"543","Loyal Customers"
12630,14,2,1270.88,5,2,4,"524","New Customers"
12631,62,1,640.5,3,1,3,"313","Others"
12633,63,5,2140.63,3,4,5,"345","Loyal Customers"
12635,94,2,1689.18,2,2,4,"224","Lost"
12637,72,10,5953.25,3,5,5,"355","Loyal Customers"
12638,38,1,671.69,3,1,3,"313","Others"
12639,243,1,486.1,1,1,3,"113","Lost"
12640,28,3,1174.58,4,3,4,"434","Loyal Customers"
12641,120,1,185.9,2,1,1,"211","Lost"
12642,30,3,1013.26,4,3,4,"434","Loyal Customers"
12643,133,6,3344.64,2,4,5,"245","At Risk"
12644,134,1,477.91,2,1,3,"213","Lost"
12645,38,5,1755.38,3,4,4,"344","Loyal Customers"
12646,9,2,1346.97,5,2,4,"524","New Customers"
12647,27,13,3669.92,4,5,5,"455","Champions"
12648,159,1,318.05,2,1,2,"212","Lost"
12649,112,4,603.71,2,4,3,"243","At Risk"
12650,8,1,314.44,5,1,2,"512","New Customers"
12651,339,1,114,1,1,1,"111","Lost"
12652,327,2,914.53,1,2,4,"124","Lost"
12653,153,2,2209.85,2,2,5,"225","Lost"
12654,15,5,601.98,5,4,3,"543","Loyal Customers"
12656,22,8,3982.72,4,5,5,"455","Champions"
12657,16,5,1152.06,4,4,4,"444","Champions"
12658,23,1,686.05,4,1,3,"413","New Customers"
12659,34,1,91.68,4,1,1,"411","New Customers"
12660,16,1,245.1,4,1,2,"412","New Customers"
12662,5,12,3817.08,5,5,5,"555","Champions"
12664,13,10,4863.88,5,5,5,"555","Champions"
12665,329,2,61.75,1,2,1,"121","Lost"
12666,364,1,-227.44,1,1,1,"111","Lost"
12667,63,1,620.13,3,1,3,"313","Others"
12668,12,6,3743.18,5,4,5,"545","Champions"
12669,155,4,1607.73,2,4,4,"244","At Risk"
12670,15,6,2986.15,5,4,5,"545","Champions"
12672,334,1,225.9,1,1,1,"111","Lost"
12673,10,2,610.52,5,2,3,"523","New Customers"
12674,16,7,1919.31,4,4,4,"444","Champions"
12676,29,6,1331.39,4,4,4,"444","Champions"
12678,47,13,17588.26,3,5,5,"355","Loyal Customers"
12679,57,9,1058.67,3,5,4,"354","Loyal Customers"
12680,5,4,862.81,5,4,3,"543","Loyal Customers"
12681,19,27,13677.59,4,5,5,"455","Champions"
12682,8,31,12288.22,5,5,5,"555","Champions"
12683,9,20,8221.09,5,5,5,"555","Champions"
12684,12,7,2283.63,5,4,5,"545","Champions"
12685,33,6,2863.08,4,4,5,"445","Champions"
12686,376,1,89.14,1,1,1,"111","Lost"
12688,118,1,4873.81,2,1,5,"215","Lost"
12689,30,2,1247.61,4,2,4,"424","New Customers"
12690,210,1,389.01,1,1,2,"112","Lost"
12691,33,6,1035.8,4,4,4,"444","Champions"
12693,125,6,830.96,2,4,3,"243","At Risk"
12694,75,2,869.67,3,2,3,"323","Others"
12695,12,4,582.1,5,4,3,"543","Loyal Customers"
12697,26,5,939.02,4,4,4,"444","Champions"
12700,12,6,4867.99,5,4,5,"545","Champions"
12701,84,2,797.71,2,2,3,"223","Lost"
12702,24,1,219,4,1,1,"411","New Customers"
12703,69,2,274.7,3,2,2,"322","Others"
12704,12,10,2220.84,5,5,5,"555","Champions"
12705,20,14,6814.24,4,5,5,"455","Champions"
12707,296,1,603.42,1,1,3,"113","Lost"
12708,34,16,2616.32,4,5,5,"455","Champions"
12709,8,26,9294.1,5,5,5,"555","Champions"
12710,101,4,1130.57,2,4,4,"244","At Risk"
12712,27,17,4241.63,4,5,5,"455","Champions"
12713,5,1,848.55,5,1,3,"513","New Customers"
12714,14,5,4708.86,5,4,5,"545","Champions"
12715,111,1,353.86,2,1,2,"212","Lost"
12716,8,2,1053.49,5,2,4,"524","New Customers"
12717,156,3,980.98,2,3,4,"234","Others"
12718,76,1,238.25,2,1,2,"212","Lost"
12719,10,3,608.1,5,3,3,"533","Loyal Customers"
12720,7,29,5713.28,5,5,5,"555","Champions"
12721,36,7,2628.98,3,4,5,"345","Loyal Customers"
12722,90,6,904.33,2,4,3,"243","At Risk"
12723,8,5,725.07,5,4,3,"543","Loyal Customers"
12724,10,4,1031.41,5,4,4,"544","Champions"
12725,376,1,427.8,1,1,2,"112","Lost"
12726,33,7,2609.1,4,4,5,"445","Champions"
12727,15,9,3947.7,5,5,5,"555","Champions"
12728,76,4,836.33,2,4,3,"243","At Risk"
12729,118,1,453.01,2,1,2,"212","Lost"
12731,28,14,18793.41,4,5,5,"455","Champions"
12732,184,1,236.26,1,1,2,"112","Lost"
12733,239,1,383.95,1,1,2,"112","Lost"
12734,357,1,110.4,1,1,1,"111","Lost"
12735,320,2,779.57,1,2,3,"123","Lost"
12736,337,1,234,1,1,1,"111","Lost"
12738,377,1,155.35,1,1,1,"111","Lost"
12739,83,2,1013.04,2,2,4,"224","Lost"
12740,68,1,427.6,3,1,2,"312","Others"
12743,139,2,546.43,2,2,3,"223","Lost"
12744,56,10,9120.39,3,5,5,"355","Loyal Customers"
12747,7,11,4196.01,5,5,5,"555","Champions"
12748,5,224,29072.1,5,5,5,"555","Champions"
12749,8,8,3868.2,5,5,5,"555","Champions"
12750,133,1,275.88,2,1,2,"212","Lost"
12752,86,1,4366.78,2,1,5,"215","Lost"
12753,8,11,21024.01,5,5,5,"555","Champions"
12754,240,5,2949.12,1,4,5,"145","At Risk"
12755,254,4,2203.2,1,4,5,"145","At Risk"
12756,91,1,112.08,2,1,1,"211","Lost"
12757,20,19,4227.7,4,5,5,"455","Champions"
12758,121,2,2791.59,2,2,5,"225","Lost"
12759,57,3,1531.44,3,3,4,"334","Loyal Customers"
12762,12,2,1898.52,5,2,4,"524","New Customers"
12763,143,2,494.08,2,2,3,"223","Lost"
12764,321,1,1693.88,1,1,4,"114","Lost"
12766,8,7,6989.63,5,4,5,"545","Champions"
12769,243,1,1143.6,1,1,4,"114","Lost"
12770,215,1,1351.45,1,1,4,"114","Lost"
12772,64,1,892.47,3,1,3,"313","Others"
12775,22,6,1351.24,4,4,4,"444","Champions"
12778,24,7,804.23,4,4,3,"443","Loyal Customers"
12779,26,12,3868.7,4,5,5,"455","Champions"
12781,26,5,707.72,4,4,3,"443","Loyal Customers"
12782,9,6,2273.32,5,4,5,"545","Champions"
12783,7,8,1603.87,5,5,4,"554","Champions"
12784,14,2,574.42,5,2,3,"523","New Customers"
12785,7,2,305.71,5,2,2,"522","New Customers"
12787,14,3,463.66,5,3,2,"532","Loyal Customers"
12789,70,1,91.85,3,1,1,"311","Others"
12790,197,1,324.92,1,1,2,"112","Lost"
12791,378,1,192.6,1,1,1,"111","Lost"
12792,261,1,400.54,1,1,2,"112","Lost"
12793,339,2,545.48,1,2,3,"123","Lost"
12794,58,2,860.41,3,2,3,"323","Others"
12795,23,1,430.48,4,1,2,"412","New Customers"
12797,365,3,194.18,1,3,1,"131","Others"
12798,15,3,6977.04,5,3,5,"535","Loyal Customers"
12802,188,2,412.58,1,2,2,"122","Lost"
12808,41,3,483.65,3,3,3,"333","Loyal Customers"
12809,173,2,484.36,2,2,3,"223","Lost"
12811,265,3,514.85,1,3,3,"133","Others"
12812,49,1,229.64,3,1,1,"311","Others"
12814,106,1,125.92,2,1,1,"211","Lost"
12815,152,2,1063.46,2,2,4,"224","Lost"
12816,100,2,572.2,2,2,3,"223","Lost"
12817,286,1,166.04,1,1,1,"111","Lost"
12818,183,2,1517.88,1,2,4,"124","Lost"
12820,8,4,942.34,5,4,4,"544","Champions"
12821,219,1,92.72,1,1,1,"111","Lost"
12822,75,3,918.98,3,3,4,"334","Loyal Customers"
12823,79,5,1759.5,2,4,4,"244","At Risk"
12824,64,1,397.12,3,1,2,"312","Others"
12826,7,8,1468.12,5,5,4,"554","Champions"
12827,10,3,430.15,5,3,2,"532","Loyal Customers"
12828,7,6,1018.71,5,4,4,"544","Champions"
12829,327,3,253.05,1,3,2,"132","Others"
12830,42,7,6748.4,3,4,5,"345","Loyal Customers"
12831,267,1,215.05,1,1,1,"111","Lost"
12832,37,2,383.03,3,2,2,"322","Others"
12833,150,1,417.38,2,1,2,"212","Lost"
12834,287,1,312.38,1,1,2,"112","Lost"
12836,64,4,2612.86,3,4,5,"345","Loyal Customers"
12837,178,1,134.1,2,1,1,"211","Lost"
12838,38,2,683.13,3,2,3,"323","Others"
12839,7,16,5583.62,5,5,5,"555","Champions"
12840,148,6,2714.27,2,4,5,"245","At Risk"
12841,9,26,3876.4,5,5,5,"555","Champions"
12842,75,2,1118.99,3,2,4,"324","Others"
12843,70,9,1680.76,3,5,4,"354","Loyal Customers"
12844,34,2,325.96,4,2,2,"422","New Customers"
12845,272,4,354.09,1,4,2,"142","At Risk"
12847,27,1,871.54,4,1,3,"413","New Customers"
12849,36,2,1050.89,3,2,4,"324","Others"
12851,101,1,135.18,2,1,1,"211","Lost"
12852,295,2,299.75,1,2,2,"122","Lost"
12853,112,9,1881.7,2,5,4,"254","At Risk"
12854,83,5,1289.15,2,4,4,"244","At Risk"
12855,377,1,38.1,1,1,1,"111","Lost"
12856,12,8,2162.68,5,5,5,"555","Champions"
12857,215,2,1106.4,1,2,4,"124","Lost"
12863,57,2,504.2,3,2,3,"323","Others"
12864,143,1,147.12,2,1,1,"211","Lost"
12865,31,3,1548.07,4,3,4,"434","Loyal Customers"
12866,288,1,559.12,1,1,3,"113","Lost"
12867,31,10,3986.22,4,5,5,"455","Champions"
12868,190,6,1607.06,1,4,4,"144","At Risk"
12870,371,1,-14.9,1,1,1,"111","Lost"
12871,89,2,380.64,2,2,2,"222","Lost"
12872,331,2,599.97,1,2,3,"123","Lost"
12873,287,1,374,1,1,2,"112","Lost"
12875,148,2,343.23,2,2,2,"222","Lost"
12876,62,2,2218.02,3,2,5,"325","Others"
12877,8,12,1535.77,5,5,4,"554","Champions"
12878,23,3,841.64,4,3,3,"433","Loyal Customers"
12879,49,4,552.57,3,4,3,"343","Loyal Customers"
12881,280,1,298,1,1,2,"112","Lost"
12882,14,2,1463.04,5,2,4,"524","New Customers"
12883,29,4,703.47,4,4,3,"443","Loyal Customers"
12884,93,1,309.05,2,1,2,"212","Lost"
12885,68,4,1158.27,3,4,4,"344","Loyal Customers"
12886,72,3,1351.09,3,3,4,"334","Loyal Customers"
12888,219,4,313.77,1,4,2,"142","At Risk"
12890,29,1,380.47,4,1,2,"412","New Customers"
12891,190,3,331,1,3,2,"132","Others"
12893,35,1,188.14,4,1,1,"411","New Customers"
12895,47,3,347.3,3,3,2,"332","Loyal Customers"
12897,209,2,216.5,1,2,1,"121","Lost"
12901,13,36,16293.1,5,5,5,"555","Champions"
12902,269,1,138.68,1,1,1,"111","Lost"
12904,23,2,509.58,4,2,3,"423","New Customers"
12906,16,5,2919.81,4,4,5,"445","Champions"
12908,63,4,246,3,4,2,"342","Loyal Customers"
12909,44,8,2128.83,3,5,5,"355","Loyal Customers"
12910,28,8,3075.04,4,5,5,"455","Champions"
12912,7,5,1662.3,5,4,4,"544","Champions"
12913,9,5,2483.63,5,4,5,"545","Champions"
12915,153,2,363.65,2,2,2,"222","Lost"
12916,143,5,2982.35,2,4,5,"245","At Risk"
12917,133,1,594,2,1,3,"213","Lost"
12919,13,8,1301.44,5,5,4,"554","Champions"
12920,22,1,164.23,4,1,1,"411","New Customers"
12921,8,50,16389.74,5,5,5,"555","Champions"
12922,166,1,405.38,2,1,2,"212","Lost"
12923,69,1,176.97,3,1,1,"311","Others"
12924,93,5,929.95,2,4,4,"244","At Risk"
12925,9,2,694.05,5,2,3,"523","New Customers"
12928,40,5,2062.7,3,4,5,"345","Loyal Customers"
12929,127,2,105.1,2,2,1,"221","Lost"
12930,83,4,409.9,2,4,2,"242","At Risk"
12931,26,20,33462.81,4,5,5,"455","Champions"
12933,29,4,606.28,4,4,3,"443","Loyal Customers"
12935,7,8,2156.45,5,5,5,"555","Champions"
12936,22,5,1012.9,4,4,4,"444","Champions"
12937,20,4,1504.27,4,4,4,"444","Champions"
12938,30,1,114.14,4,1,1,"411","New Customers"
12939,69,8,11581.8,3,5,5,"355","Loyal Customers"
12940,51,4,876.29,3,4,3,"343","Loyal Customers"
12942,136,3,683.9,2,3,3,"233","Others"
12943,306,1,-3.75,1,1,1,"111","Lost"
12944,40,2,604.51,3,2,3,"323","Others"
12945,293,1,462.95,1,1,2,"112","Lost"
12947,148,11,1407.29,2,5,4,"254","At Risk"
12948,21,8,2053.7,4,5,5,"455","Champions"
12949,35,10,4143.02,4,5,5,"455","Champions"
12950,7,3,1843,5,3,4,"534","Loyal Customers"
12951,13,8,1042.07,5,5,4,"554","Champions"
12952,10,5,1382.84,5,4,4,"544","Champions"
12953,14,1,329.85,5,1,2,"512","New Customers"
12955,6,14,4734.26,5,5,5,"555","Champions"
12956,311,1,108.07,1,1,1,"111","Lost"
12957,9,12,3979.04,5,5,5,"555","Champions"
12962,12,2,266.39,5,2,2,"522","New Customers"
12963,13,9,1841.03,5,5,4,"554","Champions"
12965,94,1,771.91,2,1,3,"213","Lost"
12966,14,1,160.18,5,1,1,"511","New Customers"
12967,8,4,1194.75,5,4,4,"544","Champions"
12968,117,1,135.95,2,1,1,"211","Lost"
12970,12,4,452.24,5,4,2,"542","Loyal Customers"
12971,8,89,10930.26,5,5,5,"555","Champions"
12974,202,1,144.8,1,1,1,"111","Lost"
12976,216,1,738.6,1,1,3,"113","Lost"
12977,161,1,39.24,2,1,1,"211","Lost"
12980,160,12,7092.06,2,5,5,"255","At Risk"
12981,34,2,372.22,4,2,2,"422","New Customers"
12982,244,2,377.2,1,2,2,"122","Lost"
12984,23,1,97.5,4,1,1,"411","New Customers"
12985,5,3,1215.62,5,3,4,"534","Loyal Customers"
12987,78,3,545,2,3,3,"233","Others"
12988,297,1,535.32,1,1,3,"113","Lost"
12989,8,19,6854.51,5,5,5,"555","Champions"
12990,36,3,409.5,3,3,2,"332","Loyal Customers"
12991,28,2,503.76,4,2,3,"423","New Customers"
12993,28,4,414.76,4,4,2,"442","Loyal Customers"
12994,9,5,902.22,5,4,3,"543","Loyal Customers"
12995,82,2,200.72,2,2,1,"221","Lost"
12997,27,7,1197.94,4,4,4,"444","Champions"
12999,201,3,455.88,1,3,2,"132","Others"
13000,111,3,534.85,2,3,3,"233","Others"
13001,9,15,9797.92,5,5,5,"555","Champions"
13002,323,1,120.95,1,1,1,"111","Lost"
13003,110,3,149.05,2,3,1,"231","Others"
13004,16,22,5613.43,4,5,5,"455","Champions"
13005,178,3,468.95,2,3,3,"233","Others"
13006,61,1,81.57,3,1,1,"311","Others"
13008,328,2,178.47,1,2,1,"121","Lost"
13011,377,1,50.55,1,1,1,"111","Lost"
13012,14,11,1311.62,5,5,4,"554","Champions"
13013,6,15,4786.99,5,5,5,"555","Champions"
13014,7,16,3365.43,5,5,5,"555","Champions"
13015,58,5,3346.28,3,4,5,"345","Loyal Customers"
13016,78,3,789.89,2,3,3,"233","Others"
13017,12,1,204,5,1,1,"511","New Customers"
13018,21,29,7272.75,4,5,5,"455","Champions"
13021,9,12,2584.4,5,5,5,"555","Champions"
13023,69,2,689.9,3,2,3,"323","Others"
13026,6,8,936.15,5,5,4,"554","Champions"
13027,118,6,6912,2,4,5,"245","At Risk"
13028,27,3,659.68,4,3,3,"433","Loyal Customers"
13029,35,3,1247.5,4,3,4,"434","Loyal Customers"
13030,16,2,799.48,4,2,3,"423","New Customers"
13032,43,3,996.52,3,3,4,"334","Loyal Customers"
13033,362,1,190.55,1,1,1,"111","Lost"
13034,59,2,642.77,3,2,3,"323","Others"
13035,62,3,886.63,3,3,3,"333","Loyal Customers"
13037,143,3,881.07,2,3,3,"233","Others"
